number,title,type,processed,concat,vec
1.0,Изучение транспорта заряженных коллоидных частиц в испаряющейся капле,НИР,изучение транспорт заряжать коллоидный частица испаряться капля,изучение транспорт заряжать коллоидный частица испаряться капля НИР,"[-0.0070869713090360165, -0.013778778724372387, 0.013644077815115452, 0.005367985460907221, -0.001382914138957858, -0.008396903052926064, -0.004581096116453409, 0.010872882790863514, -0.003215675475075841, -0.027622930705547333, 0.0033436045050621033, 0.02722007967531681, -0.018324578180909157, -0.008997904136776924, 0.013830636627972126, 0.00451141782104969, 0.016941703855991364, -0.011887922883033752, -0.007152701262384653, -0.004380734637379646, -0.012606183998286724, -0.005806113127619028, 0.017619403079152107, 0.01936791092157364, 0.021675433963537216, -0.004773344378918409, -0.0017577240942046046, 0.0061829909682273865, -0.0007643651333637536, 0.0002909857430495322, 0.012024079449474812, 0.004983162507414818, -0.0023330501280725002, -0.011019943282008171, 0.006710490211844444, 0.005471928045153618, 0.0013724606251344085, -0.02010730281472206, -0.001648149685934186, 0.0035736355930566788, -0.014141947031021118, -0.013784359209239483, -0.010259279981255531, 0.02019033208489418, 0.005933202337473631, -0.004663447849452496, -0.005013270769268274, -0.0021063603926450014, 0.016172261908650398, -0.017610538750886917, -0.006675592623651028, 0.0024863420985639095, -0.0034736949019134045, 0.0036496352404356003, 0.014469479210674763, -0.014198622666299343, -0.008920378983020782, 0.002867642557248473, -0.002861781744286418, -0.0246047955006361, 0.007015565875917673, -0.00021575725986622274, -0.0067089758813381195, -0.003860927652567625]"
2.0,Изучение конвекции Марангони и транспорта коллоидных частиц в капле с вмонтированным точечным нагревателем в подложке,НИР,изучение конвекция марангонь транспорт коллоидный частица капля вмонтированный точечный нагреватель подложка,изучение конвекция марангонь транспорт коллоидный частица капля вмонтированный точечный нагреватель подложка НИР,"[-0.010782599449157715, -0.022596212103962898, 0.017515257000923157, 0.008064857684075832, -0.008851957507431507, -0.004321752116084099, -0.016693806275725365, 0.019559919834136963, -0.00304011139087379, -0.04224305972456932, 0.0034233317710459232, 0.035855818539857864, -0.02944994904100895, -0.005182705819606781, 0.024105675518512726, 0.0039618611335754395, 0.014989025890827179, -0.01776968501508236, -0.013758575543761253, -0.020249828696250916, -0.01073380559682846, -0.016322840005159378, 0.023023085668683052, 0.02024981938302517, 0.02759401500225067, 0.004317035432904959, 0.0011698369635269046, -0.003127570264041424, 0.0016219846438616514, -0.013597620651125908, 0.02072100341320038, 0.005345301236957312, 0.00785714853554964, -0.005921102128922939, 0.01153477095067501, 0.019470861181616783, -0.0025098188780248165, -0.026608029380440712, -0.0011611121008172631, -0.0019200182287022471, -0.01903535984456539, -0.014927655458450317, -0.005721776746213436, 0.023076798766851425, 0.0022006139624863863, -0.005144195631146431, -0.0033482383005321026, 0.0049774558283388615, 0.00851324200630188, -0.012140586972236633, -0.011181890033185482, 0.016032619401812553, -0.021412914618849754, -0.008438095450401306, 0.02136750891804695, -0.024475688114762306, -0.006241129245609045, 0.013163208961486816, 0.005385355092585087, -0.04230085760354996, 0.003462298773229122, 0.0024905111640691757, -0.00025427056243643165, 0.0054483795538544655]"
3.0,Разработка программного комплекса решения эндшпилей игры в шашки и поддавки,НИР,разработка программный комплекс решение эндшпиль игра шашка поддавки,разработка программный комплекс решение эндшпиль игра шашка поддавки НИР,"[-0.005868301726877689, -0.01714327372610569, 0.008020283654332161, 0.009723816066980362, 0.001956850290298462, 0.002893734024837613, -0.010870835743844509, 0.007925078272819519, -0.002867042785510421, -0.024090835824608803, 0.008672674186527729, 0.028365587815642357, -0.010833842679858208, -0.008237297646701336, 0.012383257038891315, -0.00367654743604362, 0.01310004759579897, -0.010738364420831203, -0.008048406802117825, -0.010765980929136276, -0.007798600010573864, -0.0034489845857024193, 0.017069829627871513, 0.013457152061164379, 0.006923234555870295, -3.616159460761992e-07, 0.008731437847018242, -0.005647961515933275, 0.006291572004556656, -0.01149044744670391, 0.002713035326451063, -0.007276803255081177, 0.006702016107738018, -0.009175382554531097, -0.0024424719158560038, 0.014657141640782356, 0.004293088801205158, -0.017320849001407623, -0.008549475111067295, 0.0006904928595758975, -0.008791488595306873, -0.009759057313203812, 0.0026809086557477713, 0.01855231076478958, 0.005444803740829229, 0.004926219116896391, -0.0019212855258956552, 0.0020853776950389147, 0.006380309816449881, -0.01660746894776821, -8.135258394759148e-05, 0.0052021583542227745, -0.0114402174949646, -0.0008189324289560318, 0.02086729370057583, -0.014896177686750889, -0.010527526028454304, -0.0009927329374477267, 0.009428713470697403, -0.01819504052400589, 0.007629017811268568, -0.00469242874532938, 0.000888962997123599, 0.00433342857286334]"
4.0,Программа объединения точек платежей для противодействия мошенничеству,Прогр.,программа объединение точка платеж противодействие мошенничество,программа объединение точка платеж противодействие мошенничество Прогр.,"[-0.00847938284277916, -0.006686461623758078, 0.007548538502305746, 0.001212592120282352, -0.005478117614984512, -0.009997734799981117, -0.016267025843262672, 0.007515939883887768, -0.010253380984067917, -0.01977764628827572, -0.0044349320232868195, 0.021231863647699356, -0.01669193059206009, -0.0012616825988516212, 0.003828439163044095, -0.004476531874388456, 0.00646337540820241, -0.009294609539210796, -0.008028018288314342, -0.007469126954674721, -0.004611063748598099, 0.002764490433037281, 0.0038821410853415728, 0.019139286130666733, 0.013294343836605549, 0.009133533574640751, 0.002778097288683057, -0.006074642296880484, -0.002014653291553259, -0.010838662274181843, 0.012591448612511158, 0.0068806535564363, 0.006821907591074705, -0.006301248911768198, -0.0019228707533329725, 0.014558285474777222, -0.0021923561580479145, -0.01024768128991127, -0.004419274628162384, -0.007096365559846163, -0.011147645302116871, -0.0027693381998687983, -0.00505820894613862, 0.007335977163165808, 0.00785915832966566, 0.003694960381835699, -0.004161275457590818, 0.004169665277004242, 0.014742868952453136, -0.0051044379360973835, -0.006220887880772352, 0.007312527857720852, -0.0069999354891479015, -0.005018227733671665, 0.0071625737473368645, -0.017794426530599594, 0.004196168389171362, 0.001171288313344121, 0.00046364081208594143, -0.014799915254116058, 0.0005990095087327063, -0.004598819650709629, -0.0014035513158887625, 0.0031159056816250086]"
5.0,Антифрод (antifraud),Прогр.,антифрод antifraud,антифрод antifraud Прогр.,"[-0.008986253291368484, 0.002366742817685008, 0.007277003023773432, -0.0044869426637887955, 0.00044940877705812454, -0.0028804598841816187, 0.0037581128999590874, 0.008465126156806946, -0.003531786845996976, -0.006860516965389252, -0.004662730265408754, 0.007330702152103186, -0.009480876848101616, 0.0010623158887028694, 0.0015251943841576576, 0.0006933746044524014, 0.009124994277954102, -0.0031599928624927998, 0.0019341794541105628, -5.229975067777559e-05, -0.003319058334454894, 0.000873686047270894, -0.003048915881663561, 0.0073524597100913525, -0.0014217100106179714, 0.0028696623630821705, 0.006237628869712353, 0.006590771023184061, -0.002585441805422306, 0.001432728604413569, 0.0006914364639669657, 0.0019594908226281404, -0.006035332102328539, 0.0010342685272917151, -0.006361017469316721, -0.0032153178472071886, 0.0003496123244985938, -0.011861925944685936, -0.0029718889854848385, 0.0024711908772587776, -0.005510436370968819, 0.0014702941989526153, -0.005800109822303057, 0.0009433965315110981, 0.00011361883662175387, 0.007353177759796381, 0.000901855353731662, -0.0029496178030967712, 0.004077820107340813, -0.004483560565859079, -0.008711130358278751, 0.0004268998163752258, -0.005501779727637768, -0.0018585947109386325, 0.0017406500410288572, -0.009006463922560215, 0.002649052534252405, 0.005201482214033604, 0.004703364800661802, -0.006816884037107229, 0.0037707858718931675, -0.002216957276687026, 0.006634466350078583, 0.0018575709545984864]"
6.0,Программа анализа геопозиционирования для противодействия банковскому мошенничеству,Прогр.,программа анализ геопозиционирование противодействие банковский мошенничество,программа анализ геопозиционирование противодействие банковский мошенничество Прогр.,"[-0.009558286517858505, -0.012673079036176205, 0.005950609687715769, 0.0015407350147143006, 0.006504593882709742, 0.005274411756545305, -0.007377853617072105, 0.010313444770872593, 0.001306541613303125, -0.007224884815514088, -0.0036800617817789316, 0.02186420187354088, -0.006037548650056124, -0.003358315909281373, 0.001521534752100706, -0.0032823430374264717, 0.01156280841678381, -0.002930448157712817, -0.001676136744208634, -0.0062895268201828, -0.0003609182022046298, -0.00801390316337347, 0.007120002992451191, 0.0025054477155208588, 0.015879202634096146, 0.0012162687489762902, 0.006699125282466412, -0.006516746710985899, 0.005759083665907383, -0.006965782027691603, 0.0032067098654806614, -0.004827458877116442, 0.0070986091159284115, -0.004900283645838499, -0.004906635265797377, 0.001993353944271803, 0.005597514100372791, -0.01184217631816864, -0.008956446312367916, -0.0008310078992508352, -0.00981567706912756, -0.007609489839524031, 0.005463064182549715, 0.008160420693457127, -0.004490573424845934, -0.004313227720558643, -0.0010876166634261608, 0.0030813480261713266, 0.011258807964622974, -0.013791070319712162, -0.004146600607782602, 0.009360557422041893, -0.0023012214805930853, -0.0016494698356837034, 0.0032300774473696947, -0.002134145935997367, -0.003925190307199955, -0.0021501982118934393, 0.0065817153081297874, -0.011027637869119644, -0.0015973340487107635, 0.0044922055676579475, -0.0009328783489763737, 0.00556649174541235]"
7.0,Составление географических кластеров для противодействия банковскому мошенничеству,Прогр.,составление географический кластер противодействие банковский мошенничество,составление географический кластер противодействие банковский мошенничество Прогр.,"[-0.005018802359700203, -0.01714295521378517, 0.0028007153887301683, 0.007052628789097071, 0.004982670769095421, -0.007810167968273163, -0.0029944898560643196, 0.009560891427099705, 0.0034954941365867853, -0.01879175566136837, 0.001824856037274003, 0.025991570204496384, -0.00911514088511467, -0.009924232959747314, 0.016386359930038452, 0.005995773710310459, 0.009319539181888103, -0.011193416081368923, -0.002942227991297841, -0.009485270828008652, -0.005188669078052044, -0.0026726266369223595, 0.0077224853448569775, 0.019148295745253563, 0.017788585275411606, 0.007075272034853697, 0.005331686697900295, -0.004314865916967392, 0.009760784916579723, -0.00408107740804553, 0.0012728844303637743, -0.0002971183566842228, 0.0034075183793902397, -0.0009339836542494595, 0.0033745646942406893, 0.0013163239927962422, -0.0035287297796458006, -0.016518864780664444, 0.004880997352302074, 0.007509555667638779, -0.009761291556060314, -0.005476437974721193, 0.0057312375865876675, 0.013535633683204651, 0.007222670596092939, -0.005783590953797102, 0.0016278186812996864, 0.00802801363170147, 0.008241317234933376, -0.004226403776556253, -0.003836636431515217, 0.003482947126030922, -0.012734418734908104, -0.005118014290928841, 0.019024353474378586, -0.017865410074591637, -0.00473052216693759, 0.009516516700387001, -0.0029115602374076843, -0.016388243064284325, 0.007606138940900564, -0.003862812416628003, 0.002665067557245493, -0.002919621765613556]"
8.0,Система сбора гетерогенных данных с использованием беспроводных технологий связи в рамках концепции Интернета вещей,Прогр-аппарат.,система сбор гетерогенный данные использование беспроводный технология связь рамка концепция интернет вещь,система сбор гетерогенный данные использование беспроводный технология связь рамка концепция интернет вещь Прогр-аппарат.,"[-0.008336295373737812, -0.021124256774783134, 0.022044558078050613, -0.00023633710225112736, -0.0020515751093626022, -0.00923094991594553, -0.016935808584094048, 0.025412768125534058, -0.00818767212331295, -0.03700358793139458, -0.0018975575221702456, 0.034565847367048264, -0.022113347426056862, -0.015588083304464817, 0.0271212849766016, 0.00429932726547122, 0.009299569763243198, -0.011574762873351574, -0.01543126255273819, -0.014560439623892307, -0.005021947436034679, -0.01683366484940052, 0.021731635555624962, 0.023962564766407013, 0.02727140486240387, 0.002936756704002619, 0.005320745985955, -0.004630348179489374, 0.006173140835016966, -0.01525585725903511, 0.01713486574590206, -0.004536012653261423, -0.0007816528668627143, -0.005750055890530348, -0.001355227897875011, 0.014679400250315666, 0.002848592819646001, -0.019034182652831078, -0.00969783216714859, -0.0045195091515779495, -0.021603183820843697, -0.01787477917969227, 0.0022456571459770203, 0.024448662996292114, -0.00031221890822052956, 0.009754279628396034, -0.00035703351022675633, -0.002085533458739519, 0.010364166460931301, -0.020092375576496124, -0.011157667264342308, 0.009082024917006493, -0.009346269071102142, -0.005712834186851978, 0.017796587198972702, -0.02960945852100849, -0.0038451349828392267, 0.005383561830967665, 0.004021928180009127, -0.03278590366244316, 0.0010379262967035174, 0.004775580484420061, -0.0006495251436717808, 0.007024697028100491]"
9.0,"Пассивные элементы планарной нанофотоники: кольцевой резонатор, брэгговский фильтр, интерферометр Маха-Цандера, линии задержки/
Passive elements of planar nanophotonics: ring resonator, Bragg filter, Mach-Zander interferometer, delay lines",Прогр-аппарат.,пассивный элемент планарный нанофотоника кольцевой резонатор брэгговский фильтр интерферометр мах цандер линия задержка passive elements of planar nanophotonics ring resonator bragg filter mach zander interferometer delay lines,пассивный элемент планарный нанофотоника кольцевой резонатор брэгговский фильтр интерферометр мах цандер линия задержка passive elements of planar nanophotonics ring resonator bragg filter mach zander interferometer delay lines Прогр-аппарат.,"[-0.03601614758372307, -0.0633464902639389, 0.04632940888404846, 0.013585424982011318, -0.00037870192318223417, -0.006810510065406561, -0.04715358465909958, 0.047535039484500885, -0.016307629644870758, -0.0862383171916008, 0.010571515187621117, 0.0838821679353714, -0.06638074666261673, -0.03226681053638458, 0.048690881580114365, -0.013567782938480377, 0.04761490598320961, -0.03555727377533913, -0.05146034434437752, -0.026738272979855537, -0.02532103657722473, -0.026748554781079292, 0.05204944685101509, 0.05917161703109741, 0.05872096121311188, 0.013242693617939949, 0.005062517710030079, -0.0019923716317862272, 0.00953678134828806, -0.024877410382032394, 0.040586646646261215, 0.004182013217359781, -0.001503854407928884, -0.017090357840061188, 0.009356828406453133, 0.03301642835140228, 0.010439622215926647, -0.06326323002576828, -0.006550994701683521, -0.0022424471098929644, -0.056383632123470306, -0.047356124967336655, -0.014544771984219551, 0.05281884968280792, 0.010481161065399647, 0.003877222305163741, 0.0054263886995613575, 0.015212231315672398, 0.041936349123716354, -0.052657466381788254, -0.04095373675227165, 0.03261757642030716, -0.04247141256928444, -0.011198606342077255, 0.06178397685289383, -0.05265502259135246, -0.01963122747838497, 0.013394590467214584, 0.01701078750193119, -0.08416203409433365, 0.011749588884413242, -0.002728979801759124, -0.010916803032159805, 0.006153940688818693]"
10.0,"Компактный квантовый генератор случайных чисел/
Compact Quantum Random Number Generator",Прогр-аппарат.,компактный квантовый генератор случайный число compact quantum random number generator,компактный квантовый генератор случайный число compact quantum random number generator Прогр-аппарат.,"[-0.018741419538855553, -0.03283703699707985, 0.014873415231704712, 0.00681378273293376, -0.00032761742477305233, -0.0034134844318032265, -0.02512265555560589, 0.022628385573625565, -0.0008501183474436402, -0.040094491094350815, 0.007130241021513939, 0.032241158187389374, -0.025597821921110153, -0.010359521955251694, 0.024719353765249252, 0.001636521890759468, 0.016396749764680862, -0.020578322932124138, -0.014661393128335476, -0.018957193940877914, -0.009643551893532276, -0.006976333446800709, 0.023370487615466118, 0.0219770148396492, 0.027431247755885124, 0.012005848810076714, 0.00853288359940052, 0.0024449338670819998, 0.00913158617913723, -0.01549981813877821, 0.0194008219987154, -0.007799056358635426, -0.006699724588543177, -0.00459380354732275, 0.004593017976731062, 0.023074453696608543, 0.009726345539093018, -0.03207262605428696, -0.007475155871361494, 0.004538622219115496, -0.026386231184005737, -0.028716618195176125, -0.0006942808395251632, 0.024481745436787605, 0.005655981600284576, 0.00519700488075614, 0.007924321107566357, -0.004732208792120218, 0.01805061846971512, -0.02377677522599697, -0.009532324969768524, 0.009354148991405964, -0.011369400657713413, -0.009608380496501923, 0.020043088123202324, -0.014365814626216888, -0.006835341453552246, 0.013661731965839863, 0.005466333124786615, -0.03677515685558319, 0.0020015891641378403, 0.004329707473516464, -0.01313770841807127, -0.0018524805782362819]"
